,neg,neu,pos,nns,FRS,Dugast,Herdan,Maas,Summer,cttr,rttr,label
0,0.119,0.737,0.143,13542,73.0,48.64383545886984,0.7707786896485824,0.020557589478024135,0.8920346051989537,14.47848794927518,20.47567402052038,Detective and Mystery
1,0.109,0.693,0.198,3295,-6.21,53.55437705398872,0.8165015287289672,0.018672610064941836,0.9112852025145788,15.858937837579525,22.427924974736808,Literary
2,0.117,0.681,0.202,30038,78.42,50.062840170293114,0.7616231090280119,0.019974895483324814,0.890172619141359,16.04810216947713,22.69544373842364,Literary
3,0.097,0.778,0.126,21973,87.65,51.186768994133516,0.7766418195519038,0.01953629853282221,0.8962545631680408,16.71435267168576,23.637664234584978,Western Stories
4,0.136,0.655,0.209,3582,74.42,48.94355416682831,0.8000726646818348,0.020431699679827383,0.9022070179608508,13.325556789682947,18.845183138142506,Literary
5,0.089,0.679,0.233,5582,67.12,58.91308285633841,0.825946919223969,0.01697415839599728,0.91784706763372,19.999100205143087,28.282998745371902,Literary
6,0.093,0.777,0.13,9121,76.45,49.77302297768419,0.7865592155324731,0.02009120483697266,0.8984005853320528,14.845768956581507,20.99508780225504,Detective and Mystery
7,0.071,0.795,0.133,18451,82.95,53.13758267064701,0.7890824354283533,0.01881907210943557,0.9019759902272146,18.05388739219745,25.53205240360226,Literary
8,0.063,0.8,0.137,15440,83.96,51.73735641279325,0.7855007891941301,0.01932839382092447,0.8996839154705697,16.8071817986997,23.76894444499134,Literary
9,0.106,0.717,0.177,14528,88.16,47.37982419219628,0.7644269725777609,0.021106030194276353,0.8886495362869445,13.528572113776494,19.13229016284517,Literary
10,0.123,0.708,0.168,15626,61.03,49.780856138913535,0.7730256591536775,0.02008804342796956,0.8938253217816268,15.461252498984837,21.865512975339264,Literary
11,0.121,0.702,0.177,20193,81.02,49.46967068066887,0.7663817295837215,0.020214405841815466,0.8912778742221771,15.363661739313164,21.727498799449293,Literary
12,0.127,0.684,0.189,14254,74.42,48.07868764069478,0.7670680248506628,0.02079923660714856,0.890232436510156,14.074128101623888,19.903822839892804,Literary
13,0.104,0.702,0.194,23807,77.47,56.09476274439327,0.7925328434301159,0.017826976193066276,0.9052580775775622,21.282204547252036,30.097582307922185,Literary
14,0.126,0.674,0.2,20290,75.54,58.52962774964461,0.8049428258345609,0.017085364087354407,0.9108920969453285,22.985048306097223,32.50576704628343,Literary
15,0.11,0.725,0.166,2401,-89.81,54.00514211288649,0.8220765562460288,0.018516755273223957,0.9134115370852551,15.614335904337002,22.082005603362553,Ghost and Horror
16,0.11,0.68,0.21,4274,-12.81,53.651100895499845,0.8118950125788151,0.018638946513842704,0.9098585417903727,16.462470022893235,23.28144837653613,Literary
17,0.026,0.87,0.105,1271,76.66,52.14410457860383,0.8346625552399746,0.019177623397340447,0.9161061924367004,12.662908517299597,17.908056964254868,Literary
18,0.113,0.626,0.26,16352,73.71,49.95029029013055,0.7714760341335933,0.02001990367206305,0.8934460690501979,15.678360944572354,22.17255068359487,Literary
19,0.104,0.721,0.175,16170,83.09,51.812723195516575,0.7842642202248935,0.019300278740927698,0.89933063151331,16.960575563948726,23.985875988189996,Literary
20,0.122,0.765,0.113,35370,74.83,50.48971204230759,0.7624646821330839,0.019806015117734388,0.89083615264673,16.464209629392062,23.283908551639957,Detective and Mystery
21,0.135,0.76,0.104,5334,86.54,52.800975522632015,0.8088672008336253,0.018939044025263724,0.9082421615520773,15.966833429416212,22.580512384032524,Literary
22,0.097,0.702,0.201,29375,65.49,50.540691677616216,0.7629413391350889,0.01978603708826736,0.8910438769568496,16.506515347969312,23.34373787261785,Literary
23,0.123,0.7,0.177,16289,67.83,55.49813701688455,0.7949979522246007,0.018018622853876405,0.9056529010217355,20.2810402924279,28.681722240586737,Literary
24,0.13,0.705,0.165,21271,81.43,48.92727768794606,0.7618008959727378,0.020438496627135348,0.8892081589018529,14.947851788978516,21.13945472831635,Literary
25,0.116,0.678,0.206,19073,72.8,49.32521947013408,0.7653902983405675,0.02027360467408543,0.8908074010093047,15.2498458046968,21.566538761100656,Literary
26,0.123,0.679,0.199,31712,58.76,58.162615410305946,0.7942661609603102,0.017193174566610153,0.907199803709784,23.917744585845128,33.82479877467784,Literary
27,0.13,0.668,0.202,21095,74.12,52.35690840056751,0.7800942492788361,0.019099676251876644,0.8983680283845679,17.784288981659486,25.150782675025248,Literary
28,0.124,0.669,0.207,34071,64.75,59.69460201523819,0.7990606667860007,0.016751933445250725,0.9097124698414231,25.550507297099767,36.13387394507122,Literary
29,0.095,0.793,0.112,2715,76.76,61.492378429706584,0.8470207520138889,0.016262177940362544,0.9259277139130204,18.501849218693074,26.165566094057798,Literary
30,0.137,0.696,0.166,15029,76.15,51.171099837307736,0.7805839573833665,0.019542280763543834,0.8975710917216099,16.506525796608564,23.343752649225188,Literary
31,0.153,0.622,0.225,2747,43.26,53.77916754299108,0.8218710718240174,0.018594560787885007,0.9131844569559712,15.437980327991465,21.832601155494572,Literary
32,0.114,0.739,0.147,39070,66.17,59.10633278623403,0.7948106132394875,0.016918660875419798,0.9079743836067383,25.251541947904716,35.711073093559975,Literary
33,0.108,0.65,0.242,4510,73.41,49.9943357156207,0.7991287828349091,0.02000226597045374,0.9027954850647936,14.259226891475521,20.16559205887983,Literary
34,0.111,0.716,0.174,12513,85.42,46.98252903888536,0.7634455903699744,0.021284507676722644,0.8879189611894954,13.214844615559661,18.688612479977543,Literary
35,0.126,0.741,0.133,13464,78.89,49.40881773322933,0.7748961030497269,0.02023930233261707,0.8941331972020635,15.04210313561725,21.272746261004777,Literary
